song_id,canonical_title,artist_project,classification,alt_titles,writers,rights_confidence,stage,key,bpm,potential,readiness,confidence,lyric_status,audio_status,theme,hook,sources,soundcloud,best_source,next_action,open_questions,notes
ST-0001,Turn Over The Flag,Stalemate,original,turn over,Jeff Story,high,mixing — album track 1,"E (live, Eb tuning)",,74,91,high,full text read,"signal-analyzed (duration/tempo/key-est/loudness) — NOT auditioned, no transcription",Protest anthem — flying the flag inverted as a distress signal for the country,"Chanted title chorus + ""land of the brave / home of the enslaved"" inversion",LYRICS/01 doc (rev 2025-12-29); bounces/1. turn over mix 1.6 (2026-03-02); turn over mix 1.5.wav master; turn over mix 1.4 (BackVox Overdubs).logicx ~40 stems; NEW SONGS 2024 demo m4a; Session v1.0 mp3 (2025-11-14); Voice Memos: 12 recordings (2024-02-05..2024-10-25) — in Voice Memo Intake on Jeff's Mac,,bounces/1. turn over mix 1.6,"Record bridge ""oohs"" + add rhythm guitar layers (the only 2 items left on the Overdubs doc), then bounce mix 1.7",,"POTENTIAL 74: hook 18 (chant chorus lands), lyric 13 (chorus inversion is the best line; verses lean on abstract veil/shadow imagery), truth 16 (sincere anger), structure 12 (bridge = children's plea answers the chorus), identity 8, replay 7. READINESS 91: most-iterated mix in the vault, 2 to-dos left. AUDIO ANALYSIS (2026-08-18): 2:00, ~206bpm feel, sounds-in ~Ebm (=E in Eb tuning, matches live chart). I=-13.0 LUFS, LRA 2.8, TRUE PEAK +0.3 dBFS (clipping). Flat energy profile — chorus lift is limited; supports the ""more guitars"" overdub. Outro drops at ~1:52. ALBUM MIX NOTE: all measured masters exceed 0 dBFS true peak — final pass should limit to -1.0 dBTP and level-match tracks (Manic is 3dB hot). VOICE MEMOS: 12 matched (2024-02-05 to 2024-10-25)."
ST-0002,The Way I Love You,Stalemate,"outside composition — written by Paco Estrada, given to the band",,Paco Estrada,"performance rights OK per Jeff (""ours as Paco gave it to us""); composition credit = Paco Estrada. NO external/AI upload without revisiting rights.",overdubs — album track 2,A,214 (cut),,90,high,full text read,metadata only,"Finding the one who loves you for who you are, after the casualties and maybes","""Nobody ever gonna come and call me baby / not like you do""",LYRICS/05 doc (chords+BPM); bounces/2. the way i love you v1.4 (2026-01-24); Crisis Averted chart+studio take; The Way I Love You v2.5 (SoundCloud 2023); Rad Dad + Stalemate + Something Dirty setlists; Voice Memos: 14 recordings (2022-03-30..2025-05-02) — in Voice Memo Intake on Jeff's Mac,,bounces v1.4,Track background vox + guitar solo; nudge verse vocals +0.2dB (per Overdubs doc),"Was the song ""given"" informally or with any written understanding? Matters only if the album is commercially released.","POTENTIAL 77: hook 19, lyric 14 (""fair handshake of casualties and maybes"" is a keeper; a few stock lines), truth 15, structure 12 (softer V2 is real dynamics), identity 9, replay 8. Longest-serving song across three bands = proven live. ALBUM MIX NOTE: all measured masters exceed 0 dBFS true peak — final pass should limit to -1.0 dBTP and level-match tracks (Manic is 3dB hot). RIGHTS RESOLVED 2026-08-18 (Jeff): Paco Estrada wrote it and gave it to the band. Stays album track 2; removed from Jeff-originals ranking; credit Paco on release. VOICE MEMOS: 14 matched (2022-03-30 to 2025-05-02). Dustin Duffy recorded bass lines for this song (Stalemate Split/Bass Lines, 2023-12..2024-01)."
ST-0003,TBFH,Stalemate,original,To Be Fucking Honest; TBFH v4.5,Jeff Story,high,overdubs — album track 3,A,,86,90,high,full text read,"signal-analyzed (duration/tempo/key-est/loudness) — NOT auditioned, no transcription","Post-breakup honesty — still in love, knows it's dead, finally letting go","The title itself, sung as the verse engine: ""To be fucking honest...""",LYRICS/04 doc (rev 2026-01-10); 2020-Lyrics/TBFH (2024); bounces/3. tbfh v1.4 (2026-01-10); TBFH v4.5 (SoundCloud 2023); Crisis Averted chart+studio; Voice Memos: 12 recordings (2021-02-18..2024-10-18) — in Voice Memo Intake on Jeff's Mac,,bounces v1.4,"Background vox + chorus ""oohs""; drums +1dB (per Overdubs doc)",,"POTENTIAL 86 — highest scored lyric in the vault: hook 21 (title is the hook and it's unforgettable), lyric 16 (""Starring at Sir Paul McCartney"" bridge is the most Jeff line in the catalog), truth 19 (v3 rewrite turns the ending from wallowing to walking away — real arc), structure 12, identity 10 (emotional honesty + profanity + humor = the Jeff Story sweet spot), replay 8. AUDIO ANALYSIS (2026-08-18): 2:16, ~216bpm feel, sounds-in ~Eb (doc says A — verify tuning/capo). I=-12.3 LUFS, LRA 1.7 (flattest of the four), TP +0.3 dBFS. ALBUM MIX NOTE: all measured masters exceed 0 dBFS true peak — final pass should limit to -1.0 dBTP and level-match tracks (Manic is 3dB hot). VOICE MEMOS: 12 matched (2021-02-18 to 2024-10-18). Dustin Duffy recorded bass lines for this song (Stalemate Split/Bass Lines, 2023-12..2024-01). 2023 Crisis Averted studio take analyzed: 2:19, key A confirmed (r=0.87) — clean reference version alongside the album v1.4."
ST-0004,Manic,Stalemate,original,Manic!; Manic!!; Manic?  No way!,Jeff Story,high,overdubs — album track 4,,,85,87,high,full text read,"signal-analyzed (duration/tempo/key-est/loudness) — NOT auditioned, no transcription",Bipolar mania as a night-out anthem — euphoria with poison underneath,"""Riding every wave"" flipped to ""Drowning in the wave"" — double-chorus mirror; sardonic ""just another perfect manic day!"" outro","NEW SONGS 2024/Manic!! doc (rev 2025-05-22) + Manic! (New 05-2024).m4a; 2020-Lyrics/Manic? No way! (2022); bounces/4. manic v1.4 (2026-01-08); Manic!! (SoundCloud 2024-08, 66 plays); Voice Memos: 18 recordings (2020-10-22..2025-08-29) — in Voice Memo Intake on Jeff's Mac",,bounces v1.4,"QUICK WIN: one overdub left (guitar octave part in chorus), then it is done",,"Only ONE item on the Overdubs doc — the closest song to finished on the entire album. Potential unscored until I read the Manic!! lyric doc (top of next session's reading list). AUDIO ANALYSIS (2026-08-18): 2:07, key-est C#m (weak r=0.48). I=-9.5 LUFS — 3dB HOTTER than the rest of the album, TP +0.6 dBFS. Needs album-level matching. ALBUM MIX NOTE: all measured masters exceed 0 dBFS true peak — final pass should limit to -1.0 dBTP and level-match tracks (Manic is 3dB hot). POTENTIAL 85: hook 20 (mirror chorus is smart), lyric 15 (""Why is this poison in my brain?""; some stock neon), truth 19, structure 13, identity 10, replay 8. QUICK-WIN CHOICE VALIDATED — top-4 song, one overdub from done. VOICE MEMOS: 18 matched (2020-10-22 to 2025-08-29). Jeff confirmed 2026-08-18: part of the unreleased Stalemate album. Band recording = bounce stays off Suno; only Jeff-solo demos eligible."
ST-0005,Better Than Now,Stalemate,band original — written by Sean (Stalemate bassist),,Sean (Stalemate bassist),Sean's composition per Jeff. Band may record/perform; no external/AI upload without Sean's consent.,overdubs — album track 5,B (live),,,79,medium,no lyric doc found,metadata only,,,"bounces/5. better than now v1.4 (2026-01-08); Session v1.0 (2025-11-14); setlists 3-13-24 & 4-26-24 (marked Stalemate original, sung by S); Voice Memos: 4 recordings (2023-08-25..2024-07-26) — in Voice Memo Intake on Jeff's Mac",,bounces v1.4,"Locate/transcribe lyrics (no doc exists!); then guitar solos + ""Jeff take me away"" chorus vox per Overdubs doc","Sean's full name for credits; does he have the lyric written down? (replaces the ""who wrote it"" question)",On the album with no lyric doc anywhere in Drive — the lyric lives only in performances. Needs a lyric-capture pass. ALBUM MIX NOTE: all measured masters exceed 0 dBFS true peak — final pass should limit to -1.0 dBTP and level-match tracks (Manic is 3dB hot). RIGHTS RESOLVED 2026-08-18 (Jeff): Sean wrote it. Lyric-capture task now points at Sean. VOICE MEMOS: 4 matched (2023-08-25 to 2024-07-26).
ST-0006,Take The Step,Stalemate,original,Take This Step; 13 - Take The Step,Jeff Story,high,overdubs — album track 6,A/A# (varies by chart),145,75,86,high,full text read,"signal-analyzed (duration/tempo/key-est/loudness) — NOT auditioned, no transcription","Quitting / recovery — changing your life one day at a time, for her","""But first I need to finally take this step""",LYRICS/13 doc (BPM 145); bounces/6. take the step mix v1.4 (2026-01-24); Jeff Story - Take This Step v1.2.wav (2023); Crisis Averted chart+studio (different key); Voice Memos: 14 recordings (2023-05-26..2025-05-23) — in Voice Memo Intake on Jeff's Mac,,bounces v1.4,"4 overdub items: chorus ""wohs"", background vox, bridge oohs/aahs, last-chorus lead vox",,"POTENTIAL 75: hook 16, lyric 14 (""one day at a time"" deployed sincerely — it works because the song is literally about that), truth 18 (recovery song addressed to his wife — heavy and real), structure 12 (Sail Away bridge lifts), identity 8, replay 7. Most overdub work left of the six. AUDIO ANALYSIS (2026-08-18): 2:13, key-est A (doc A/A#, consistent). I=-12.3 LUFS, LRA 2.7, TP +0.4 dBFS. Cold open, ends clean at ~2:10. ALBUM MIX NOTE: all measured masters exceed 0 dBFS true peak — final pass should limit to -1.0 dBTP and level-match tracks (Manic is 3dB hot). VOICE MEMOS: 14 matched (2023-05-26 to 2025-05-23). Older Take This Step v1.1/1.2 logicx (2023) + Crisis Averted studio take exist. Dustin Duffy recorded bass lines for this song (Stalemate Split/Bass Lines, 2023-12..2024-01)."
ST-0007,Be With You,Stalemate,original,Be With You v2.5,Jeff Story,high,demo+release,A live / F on song list,,86,82,high,full text read,"signal-analyzed (duration/tempo/key-est/loudness) — NOT auditioned, no transcription",Love song to a partner in the punk scene — the show only matters because she's there,"""Gonna go to the punk rock show... all I wanna do is just be with you""","LYRICS/02 doc (rev 2026-02-06 — recently touched!); Be With You v2.5 (SoundCloud, Another Bland EP 2023); Crisis Averted chart + studio (different key); setlist 4-26-24 original; Voice Memos: 13 recordings (2022-08-18..2024-10-25) — in Voice Memo Intake on Jeff's Mac",,Be With You v2.5 (SoundCloud),Decide: does this belong on the album (it was Prime Outline track 12) or the next EP?,,"POTENTIAL 86 (tied for #1): hook 20 (chorus is instant), lyric 17 (the dance-party-broken-foot verse is the most charming specific detail in the catalog), truth 18, structure 12 (bridge ""any mountain, any plane"" pays off), identity 10 (pure Jeff: punk show + devotion), replay 9. Jeff edited the doc in Feb 2026 — it's alive in his head. Strongest song NOT on the current album. VOICE MEMOS: 13 matched (2022-08-18 to 2024-10-25). 2023 studio take analyzed: 2:26, key F confirmed (matches song-list ""Be With You - F""), -11.4 LUFS. A real full studio recording exists → readiness raised 79→82."
ST-0008,It's Only Been 18,Stalemate,original,It's Been Only 18; Only 18,Jeff Story,high,demo+release,C doc / G live,212,76,80,high,full text read,metadata only,18th anniversary road-trip song — still lit up after all these years,"""The only thing I know / is that you make me aglow... it's been only 18?""",LYRICS/09 doc; 2020-Lyrics/Only 18 (2023); Jeff Story - Only 18 v1.5.mp3 + .logicx (2023-12); It's Been Only 18 (SoundCloud 2023); Crisis Averted chart+studio; Voice Memos: 8 recordings (2020-02-27..2024-10-25) — in Voice Memo Intake on Jeff's Mac,,Only 18 v1.5,Candidate for next-EP shortlist; v1.5 mix may be nearly done — needs a listening pass,,"POTENTIAL 76: hook 16, lyric 15 (Vermont, windows down — specific and sweet), truth 18 (a real marriage, a real number), structure 11, identity 9, replay 7. NOTE: distinct from ""Over 18"" (2010 album track 12) — do NOT merge. VOICE MEMOS: 8 matched (2020-02-27 to 2024-10-25)."
ST-0009,Long Long Drive,Stalemate,original,,Jeff Story,"high — CONFIRMED by Jeff 2026-08-18: ""long long drive is my song, i wrote it""",written + old recordings,Am,123,81,80,high,full text read,"signal-analyzed (duration/tempo/key-est/loudness) — NOT auditioned, no transcription","Depression hidden inside a good life — ""a loving wife and son, but I've got a dark corner""","""The headwinds are strong / I think I'm gonna implode... exposed, woh oh""","LYRICS/11 doc (chords, bg-vox map); SoundCloud /something-dirty-long-long-drive (2019, 241 plays); Times Have Changed set (2021); Crisis Averted chart + studio (different key); setlist 4-26-24 original; Prime Outline track 8; Voice Memos: 13 recordings (2019-10-14..2024-10-18) — in Voice Memo Intake on Jeff's Mac",,2019 SoundCloud recording (metadata only),"EXPERIMENTAL SLOT: modern full-band arrangement built from the documented chart (Am, 123bpm, bg-vox map already written)",,"POTENTIAL 81: hook 17, lyric 16 (""I wrote this at 39 / not to be a Sad Bear"" — devastating opening), truth 20 (max score; the most honest song in the vault), structure 12 (bridge asks the question the chorus can't), identity 9, replay 7. Has survived 3 band eras (SD 2019 → Crisis Averted → Stalemate sets) — Jeff keeps coming back to it. The background-vox outro map in the doc is an arrangement already half-designed. VOICE MEMOS: 13 matched (2019-10-14 to 2024-10-18). Crisis Averted studio take analyzed: 2:18, ~Ebm ~117bpm (the ""different key"" vs the Am chart confirmed). Working copy in 06_exports."
ST-0010,Wham Bam,Stalemate,original,,Jeff Story,high,released 2010 + live,E,150,59,85,high,full text read,metadata only,,,LYRICS/06 doc; My Mom Says We're Cool track 01 (2010); Crisis Averted chart+studio; setlists; Voice Memos: 5 recordings (2023-06-01..2024-02-28) — in Voice Memo Intake on Jeff's Mac,,2010 album master,"HOLD for re-evaluation: the 2004-era judgmental framing reads differently in 2026 — keep the riff/hook, consider a lyric rethink or retire proudly as a period piece",,"POTENTIAL 59: hook 17 (the wham-bam gang chant works), lyric 9, truth 8, structure 11, identity 7, replay 7. Fully finished recording exists; question is whether Jeff 2026 still wants to say this. VOICE MEMOS: 5 matched (2023-06-01 to 2024-02-28). 2023 remaster WAV exists (My Mom Says We're Cool/2023). Dustin Duffy recorded bass lines for this song (Stalemate Split/Bass Lines, 2023-12..2024-01)."
